Producto;Tipo;presentacion;Cantidad que trae;Unidad medida;Precio compra;Costo por unidad;Costo por gramos ;
Globo foil estrella 10 pul;Unidad;;1;unid;700;700;700;
Globo foil estrella 18 pul  negro;Unidad;;1;unid;900;900;900;
Globo foil estrella agata 18 pul  azul;Unidad;;1;unid;1000;1000;1000;
Globos R12 mix;paquete;;20;unid;9000;450;450;
Globos R5 azul;Paquete;;50;unid;9000;180;180;
Globos R5 dorados;Paquete;;50;unid;9000;180;180;
Globos R5 negros;Paquete;;50;unid;9000;180;180;
Gomas largas arcoiris ;;;1;unid;6400;6400;6400;
Gomas trolli ana y conda;;;70;gramos;3000;42,8571428571429;42,8571428571429;
Gomitas trolli moras;;;1;unid;5500;5500;5500;
Guillotina mini;;;1;unid;20000;20000;20000;
hatsu caja;;;1;unid;1700;1700;1700;
Hoja de sticker papa;;;12;unid;4000;333,333333333333;333,333333333333;
Hoja parafinada cuadros 20x20;;;100;unid;14200;142;142;
Icopor 1/4;;;1;unid;2900;2900;2900;
jack daniel mini ;;;1;unid;10000;10000;10000;
jaguer mini ;;;1;unid;6000;6000;6000;
